Num_Features,Ciclo,Base_Treino,Accuracy,Statistical Parity (Abs),Average Abs Odds,Equal Opportunity (Abs),Disparate Impact
6,3,gs_v0_75,0.8774056103299183,0.16009546565659694,0.01823882127460466,0.008908164983518763,0.18275086127289952
6,4,gs_v0,0.8165083701886202,0.11184868077342824,0.05286170263974954,0.04567581236307705,0.12243202880196424
6,5,gs_v1,0.8193830379523611,0.13117688298074248,0.027580264520272513,0.04024813625234025,0.1440212889286384
6,6,pd_v0_25,0.8360953055553393,0.32709214659744623,0.22954075896114653,0.18704102515573273,0.36060489481330726
6,7,pd_v0_5,0.7820429459528039,0.5002504593385109,0.5922345898995266,0.34087161359774276,0.511446363796338
6,8,pd_v0_75,0.8437068168995658,0.35606750153183475,0.3320524411642286,0.2152390933406464,0.3839155129649031
6,9,pd_v0,0.8275884428339849,0.14747377379837356,0.10887623385315923,0.015025708838940721,0.17919349074947155
6,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
7,1,gs_v0_25,0.8559125395688801,0.1399862103246169,0.11187507571645905,0.03717723751402291,0.16053553105698215
7,2,gs_v0_5,0.8845748375761043,0.18190639655236607,0.08761839497186652,0.015242985952761856,0.2024751928115638
7,3,gs_v0_75,0.8883343887474681,0.19844184290526934,0.09066043604540362,0.022159175968143763,0.22261337458682562
7,4,gs_v0,0.8173440534837308,0.11298910300678933,0.05092052141780501,0.04843186547163203,0.11787414884485559
7,5,gs_v1,0.8177035441517927,0.11758465998772116,0.028006351830029586,0.02711868764992409,0.13003835536601016
7,6,pd_v0_25,0.8322578636423784,0.2039365663954773,0.05693302092963562,0.1109666128590121,0.22472562027960197
7,7,pd_v0_5,0.8537966252220248,0.4119816293793641,0.5339988827964643,0.20880645444543022,0.4157210720254876
7,8,pd_v0_75,0.843330689539571,0.3976327660758192,0.36829281391739954,0.2494286560767488,0.43007992779555904
7,9,pd_v0,0.85021073710308,0.1625510640247586,0.10506761506553741,0.06982000042740644,0.17623229625355907
7,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
8,1,gs_v0_25,0.9493518333744184,0.17159927503455263,0.04740126180720693,0.004770837854337406,0.18771378678112904
8,2,gs_v0_5,0.966554978956401,0.20136692577073034,0.007839633287350933,0.0019013464076774733,0.221517583512034
8,3,gs_v0_75,0.980792860647591,0.22279226838143562,0.00709728111818283,0.002044985304852198,0.25001514720068696
8,4,gs_v0,0.9437497376564998,0.16335266062476483,0.056771493595592526,0.0061003899464957545,0.1772629192265741
8,5,gs_v1,0.9646886428430471,0.22418633365405394,0.011220371096050605,0.000834449276214011,0.2468569400572328
8,6,pd_v0_25,0.9667356835394758,0.2453808582432514,0.09879399343100306,0.03414638182066698,0.2648545647233179
8,7,pd_v0_5,0.9331031146917026,0.2664237491806428,0.08748206956694884,0.11530822953397912,0.30214734629479223
8,8,pd_v0_75,0.9804699956663587,0.1760044152782605,0.01912332687797929,0.010487050879045001,0.19914228234623021
8,9,pd_v0,0.9694364451225327,0.21058834133061144,0.007379482651404652,0.002929059538971379,0.22918466868163312
8,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
9,1,gs_v0_25,0.9444568351939022,0.16283536881413485,0.0654678376023912,0.00350573954180855,0.1780615559811043
9,2,gs_v0_5,0.9668205777795938,0.20097454522447522,0.010024827341805438,0.002004972107623959,0.2211779722778675
9,3,gs_v0_75,0.9652384327309784,0.2049919146528646,0.010894711673772997,0.0019609361517257673,0.2281465856142466
9,4,gs_v0,0.9436810513582715,0.16332809301470197,0.056911008700840454,0.006162880461328291,0.17723625956727307
9,5,gs_v1,0.9652974593457532,0.22406324322370652,0.014138543712075326,0.0009433176869035886,0.24686204980255322
9,6,pd_v0_25,0.9722622226027664,0.2578577107122293,0.12115468998270765,0.03614233604849859,0.27810180824480857
9,7,pd_v0_5,0.9331031146917026,0.2664237491806428,0.08748206956694884,0.11530822953397912,0.30214734629479223
9,8,pd_v0_75,0.9315652621853,0.1341014262696011,0.024854214907126998,0.006340497710433546,0.1463114855335229
9,9,pd_v0,0.9749938018499094,0.22056808368327008,0.009841424295887129,0.001976562173601537,0.24000242387556003
9,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
10,1,gs_v0_25,0.9457676460575896,0.166885686234288,0.05099240462605365,0.005952077578714965,0.18277252136015953
10,2,gs_v0_5,0.9826420953704083,0.2204116138798191,0.005953017641328783,0.0011940717215738195,0.24478730503425217
10,3,gs_v0_75,0.965167139855653,0.20555092345409964,0.00975273832422932,0.0020266444489499547,0.22891887287717771
10,4,gs_v0,0.9372855938121277,0.19172708684748307,0.07496268757053651,0.0073228671548031254,0.20489247893976892
10,5,gs_v1,0.9113143298609799,0.1908274193494226,0.07608347551618774,0.0013478372288237006,0.20232788583697148
10,6,pd_v0_25,0.9679305057172436,0.24308995596625171,0.09694825515857566,0.031174703732244402,0.2623818538128486
10,7,pd_v0_5,0.9323815338746511,0.27649914406561726,0.11691629237441961,0.11981446401179352,0.3100311788399024
10,8,pd_v0_75,0.9213321449889206,0.16448176060951603,0.0748175249322783,0.03197655034677371,0.17841181199664113
10,9,pd_v0,0.9749899876036998,0.22057412313295532,0.009837004484524674,0.001967722550876627,0.24000899546352106
10,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
11,1,gs_v0_25,0.9386070971604316,0.15991911170609097,0.06409219187759285,0.003523629867678846,0.17556570676656624
11,2,gs_v0_5,0.968058676909247,0.20575707018817535,0.0031677722486114154,0.0005612045689080691,0.22658154574146228
11,3,gs_v0_75,0.9820761324034506,0.22679935339501966,0.0023193819505711935,0.0013589065315646742,0.254941489875818
11,4,gs_v0,0.9215907746669668,0.16632680505257702,0.0422615185791822,0.005061325891965618,0.17751100919910323
11,5,gs_v1,0.922109276264134,0.18186445346780888,0.009789281856476623,0.0005332032031891698,0.19573773387065685
11,6,pd_v0_25,0.9383907652310638,0.20575267910051098,0.0313992944229511,0.03711841060505894,0.2221364729469566
11,7,pd_v0_5,0.9063411887845725,0.3552145880766706,0.46137613777519754,0.12208038305319457,0.365989891171418
11,8,pd_v0_75,0.96815182462653,0.20085097980568534,0.09819528940789664,0.023656136053481935,0.2230685145368312
11,9,pd_v0,0.9699971393153428,0.21301147768299278,0.004598384263131368,0.004013281164987559,0.23295296745928873
11,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
12,1,gs_v0_25,0.9370145597827576,0.15135124327177385,0.07511315348442607,0.006359542859180611,0.16565010247062617
12,2,gs_v0_5,0.9820741225023495,0.22099735327791725,0.0033681008927678776,0.0007499728940510986,0.2453532514872172
12,3,gs_v0_75,0.9654103743714695,0.20570088009628373,0.009989551652232337,0.001586291988413313,0.22890415345479187
12,4,gs_v0,0.9199003285494599,0.16143821707864503,0.03556829215475163,0.0036010727483126725,0.17222702685180946
12,5,gs_v1,0.9008426860144353,0.16913950334071537,0.04772640221097765,0.0008476768215230912,0.1792882108756284
12,6,pd_v0_25,0.9350904095087608,0.2407364022551236,0.07044339290633284,0.06560563548018539,0.2600593167940297
12,7,pd_v0_5,0.9064284128393809,0.3516211063795466,0.45183294528986784,0.12019851808660731,0.3636337523720269
12,8,pd_v0_75,0.9683439766473969,0.19816866318030102,0.0950319078950678,0.021588751424789443,0.2200894880679497
12,9,pd_v0,0.9644283398493373,0.20316975354596079,0.019241679044954232,0.004850675566568929,0.22216725362282141
12,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
13,1,gs_v0_25,0.9412326317560561,0.16274641320211714,0.05819400659543632,0.002027299395039206,0.17761751541072257
13,2,gs_v0_5,0.9780942262901974,0.225878341165048,0.015897522242990215,0.0015293172703362279,0.25082078262464713
13,3,gs_v0_75,0.9808389913316251,0.22744380704049671,0.004750287886064061,0.0021990220198697674,0.25498212901943274
13,4,gs_v0,0.915649409870221,0.14552432709775232,0.0015819490857327534,0.0013237049160476078,0.15548193911890995
13,5,gs_v1,0.9266607044636747,0.19747645156241223,0.04916304107287989,0.00037969458067832473,0.2112359933958896
13,6,pd_v0_25,0.9546045411026614,0.2348133356712998,0.07696895147574986,0.039657951555671755,0.2537716788978527
13,7,pd_v0_5,0.966065877949759,0.17402709335107425,0.012045531297093046,0.008760028249354956,0.19785409269930854
13,8,pd_v0_75,0.9575303150475474,0.22702089815705528,0.23002763032106893,0.019849959368179904,0.24483280885411385
13,9,pd_v0,0.9699246686373605,0.21307789687431,0.0041573419779240214,0.003928345639482633,0.23298867587747307
13,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
14,1,gs_v0_25,0.9391940273979035,0.15438769786467332,0.07583192357791436,0.003487491294853373,0.1685222277210766
14,2,gs_v0_5,0.9807992481510236,0.22347517418144947,0.002493327492874538,0.0014023139132641749,0.2486852346285473
14,3,gs_v0_75,0.9654019869743723,0.20983154627492895,0.008581297570716177,0.0024160509031905253,0.23325652057855406
14,4,gs_v0,0.9137834321016862,0.14409993985447045,0.0013307750849929356,0.0016574069884096598,0.15381767712672134
14,5,gs_v1,0.9292891122615644,0.19865743236157107,0.039370461591926614,0.0005894760769837859,0.2131793035024423
14,6,pd_v0_25,0.9363202590467887,0.24285792350179614,0.06787698935405173,0.06648152257460638,0.2630623044145963
14,7,pd_v0_5,0.9634848388733824,0.16291023525699755,0.0031376522599467632,0.0013715462577502668,0.18606675097469372
14,8,pd_v0_75,0.9748199085846981,0.19630714630154522,0.08883392468029983,0.017492605504489833,0.21784906357005562
14,9,pd_v0,0.9698674549442167,0.21304252717050198,0.004133701557600913,0.003940194425903987,0.23296054922104847
14,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
15,1,gs_v0_25,0.9364902354372826,0.15735176903880188,0.07466043237190464,0.0006181715511873742,0.17219893557055088
15,2,gs_v0_5,0.9775752870510358,0.22510606804772526,0.012376030084219149,0.0029722362552545567,0.24972117838190533
15,3,gs_v0_75,0.9651503650614587,0.2094923643844745,0.008677275414192873,0.002234215188832267,0.2329459267337356
15,4,gs_v0,0.9124631288135205,0.1467611720949933,0.003331336720764494,0.004842774255395033,0.15687096818024548
15,5,gs_v1,0.9284619615647843,0.19856065375684162,0.04333483658608872,0.00037228006203948727,0.21278759766499644
15,6,pd_v0_25,0.9374683780775428,0.24897903520877107,0.0835813204164578,0.06875855165147082,0.26870977067886914
15,7,pd_v0_5,0.9653879091601116,0.171308107069843,0.00931268586588992,0.006045208088375831,0.19534371165113773
15,8,pd_v0_75,0.9580290926336275,0.22128285655936542,0.22333309000795923,0.015334583735638008,0.23864456427800318
15,9,pd_v0,0.9698827119290551,0.21288899896634206,0.00451362008907432,0.0042441264989767635,0.2329086759366632
15,10,pd_v1,0.5149522913365029,0.9405868563576105,0.9591561938958708,0.9183123877917415,0.9405868563576105
